,order_id,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,profit,discount,order_date,ship_date
0,CA-2014-100090,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,FUR-TA-10003715_0,Furniture,Tables,Hon 2111 Invitation Series Corner Table,502.488,3,-87.9354,0.2,2014-07-08,2014-07-12
1,CA-2014-100678,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,FUR-CH-10002602_0,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,317.058,3,-18.1176,0.3,2014-04-18,2014-04-22
2,CA-2014-100706,LE-16810,Laurel Elliston,Consumer,United States,Springfield,Virginia,22153,South,FUR-FU-10002268_0,Furniture,Furnishings,Ultra Door Push Plate,29.46,6,9.7218,0.0,2014-12-16,2014-12-18
3,CA-2014-100916,FH-14275,Frank Hawley,Corporate,United States,Newport News,Virginia,23602,South,FUR-TA-10004607_0,Furniture,Tables,Hon 2111 Invitation Series Straight Table,591.32,4,112.3508,0.0,2014-10-21,2014-10-26
4,CA-2014-101462,BP-11230,Benjamin Patterson,Consumer,United States,Los Angeles,California,90045,West,FUR-FU-10000409_0,Furniture,Furnishings,"GE 4 Foot Flourescent Tube, 40 Watt",59.92,4,27.5632,0.0,2014-04-20,2014-04-25
5,CA-2014-101560,CS-12250,Chris Selesnick,Corporate,United States,Columbia,South Carolina,29203,South,FUR-FU-10003773_0,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,397.6,5,43.736,0.0,2014-11-28,2014-12-01
6,CA-2014-101602,MC-18100,Mick Crebagga,Consumer,United States,El Paso,Texas,79907,Central,FUR-CH-10004675_0,Furniture,Chairs,"Lifetime Advantage Folding Chairs, 4/Carton",763.28,5,-21.808,0.3,2014-12-15,2014-12-18
7,CA-2014-101931,TS-21370,Todd Sumrall,Corporate,United States,Los Angeles,California,90049,West,FUR-BO-10001337_0,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,616.998,6,-36.294,0.15,2014-10-28,2014-10-31
8,CA-2014-102295,EH-13990,Erica Hackney,Consumer,United States,Sacramento,California,95823,West,FUR-CH-10001714_0,Furniture,Chairs,"Global Leather & Oak Executive Chair, Burgundy",120.712,1,-18.1068,0.2,2014-11-24,2014-11-26
9,CA-2014-102652,AY-10555,Andy Yotov,Corporate,United States,Los Angeles,California,90049,West,FUR-FU-10000747_0,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,91.96,2,15.6332,0.0,2014-04-06,2014-04-12
